[dprof] enabled, 1048576 marks
engine: dense NVFP4 overlay ACTIVE
engine: 58840 tensors, 101.85 GiB resident, 45 layers, max_ctx 2112
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (45.38 MiB latent cache at 2112 ctx)
streaming read RIGHT NOW: 234.4 GB/s
prompt 2048 tokens, 45 layers, widths: 32, 1 reps, ROUND-ROBIN

  rep 0  width 32    101386.2 ms   49.505 ms/tok     20.2 tok/s

width      min ms/tok   med ms/tok  tok/s (min)
32             49.505       49.505         20.2

[dprof] prefill (all widths, all reps) — decode step by sub-op, summed over 2048 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn             2101.10    2.0%     2970      0.035     34.6     15%
[dprof] norm:attn                497.37    0.5%     2970          -        -       -
[dprof] ATTENTION              50463.31   48.4%     2970      3.990    161.9     69%
[dprof] hc:post_attn             421.52    0.4%     2970          -        -       -
[dprof] hc:pre_ffn              2131.64    2.0%     2970      0.035     34.1     15%
[dprof] norm:ffn                 493.48    0.5%     2970          -        -       -
[dprof] FFN                    47823.67   45.8%     2970      5.656    242.2    103%
[dprof] hc:post_ffn              412.81    0.4%     2970          -        -       -
[dprof] embed                      9.90    0.0%       66          -        -       -
[dprof] head:mean                  0.03    0.0%        2          -        -       -
[dprof] lm_head                    5.59    0.0%        2      0.357 130860.0  55831%
[dprof]   attn:kda             33979.50   32.6%     2244      3.014    181.7     78%
[dprof]   attn:mla             16477.06   15.8%      726      0.976    121.3     52%
[dprof]     mla:q_proj          2471.25    2.4%      726          -        -       -
[dprof]     mla:kv               447.10    0.4%      726          -        -       -
[dprof]     mla:indexer         1026.60    1.0%    23232          -        -       -
[dprof]     mla:absorb_q         577.24    0.6%      726          -        -       -
[dprof]     mla:sdpa            6306.97    6.0%    23232          -        -       -
[dprof]     mla:o_proj          5590.47    5.4%      726          -        -       -
[dprof]       sdpa:scores       2046.83    2.0%    23232          -        -       -
[dprof]       sdpa:softmax       169.77    0.2%    23232          -        -       -
[dprof]       sdpa:context      3899.25    3.7%    23232          -        -       -
[dprof]   ffn:moe              44964.58   43.1%     2772      5.401    246.0    105%
[dprof]   ffn:dense             2852.44    2.7%      198      0.255    183.0     78%
[dprof]     moe:router           378.09    0.4%     2772      0.050    270.8    116%
[dprof]     moe:w13+act        24333.17   23.3%     2772      3.568    300.3    128%
[dprof]     moe:w2+combine     20179.50   19.3%     2772      1.783    181.0     77%
[dprof] TOTAL                 104360.41  (50.96 ms/step, 19.62 tok/s)
